[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 20, Angle: -4947, SNR: 0, Speed: -71
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 2, Distance: 40, Angle: -5034, SNR: 0, Speed: -96
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 5, Distance: 58, Angle: 158, SNR: 0, Speed: -73
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 3, Distance: 143, Angle: -774, SNR: 0, Speed: -105
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 2, Distance: 152, Angle: -4092, SNR: 0, Speed: 77
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 4, Distance: 316, Angle: -3789, SNR: 0, Speed: 71
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 431, Angle: -1648, SNR: 0, Speed: -98
[2017-03-28 15:40:00.396] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 3, Distance: 480, Angle: -3374, SNR: 0, Speed: 94
[2017-03-28 15:40:00.397] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 4, Distance: 510, Angle: -505, SNR: 0, Speed: -77
[2017-03-28 15:40:00.397] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 577, Angle: -1465, SNR: 0, Speed: -85
[2017-03-28 15:40:00.397] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 4, Distance: 723, Angle: -6251, SNR: 0, Speed: 72
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 44, Angle: -7116, SNR: 0, Speed: -96
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 5, Distance: 60, Angle: -477, SNR: 0, Speed: -73
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 3, Distance: 147, Angle: -2109, SNR: 0, Speed: -105
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 3, Distance: 149, Angle: -2573, SNR: 0, Speed: 78
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 4, Distance: 316, Angle: -3413, SNR: 0, Speed: 71
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 435, Angle: -2404, SNR: 0, Speed: -98
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 476, Angle: -2835, SNR: 0, Speed: 94
[2017-03-28 15:40:00.496] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 512, Angle: -560, SNR: 0, Speed: -77
